"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 12 12:43:39 UTC 2026","Tue May 12 12:43:39 UTC 2026","420","chromium","example.spec.ts","","","","has title",""
"passed","Tue May 12 12:45:43 UTC 2026","Tue May 12 12:45:50 UTC 2026","7091","chromium","Patient/login.spec.ts","Login Test - EHR Application","","","user can login successfully",""
"passed","Tue May 12 12:43:38 UTC 2026","Tue May 12 12:43:39 UTC 2026","612","chromium","example.spec.ts","","","","get started link",""
"passed","Tue May 12 12:43:44 UTC 2026","Tue May 12 12:44:00 UTC 2026","16383","chromium","Patient/patient_registration.spec.ts","E2E Patient Registration","","","should register a new patient successfully",""
