"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 12 12:09:14 UTC 2026","Tue May 12 12:09:14 UTC 2026","5","chromium","example.spec.ts","","","","has title",""
"failed","Tue May 12 12:09:22 UTC 2026","Tue May 12 12:09:22 UTC 2026","5","chromium","example.spec.ts","","","","get started link",""
"failed","Tue May 12 12:09:07 UTC 2026","Tue May 12 12:09:07 UTC 2026","4","chromium","Patient/patient_registration.spec.ts","E2E Patient Registration","","","should register a new patient successfully",""
"failed","Tue May 12 12:09:17 UTC 2026","Tue May 12 12:09:17 UTC 2026","5","chromium","Patient/login.spec.ts","Login Test - EHR Application","","","user can login successfully",""
