"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 12 12:14:11 UTC 2026","Tue May 12 12:14:11 UTC 2026","81","chromium","Patient/login.spec.ts","Login Test - EHR Application","","","user can login successfully",""
"passed","Tue May 12 12:14:28 UTC 2026","Tue May 12 12:14:29 UTC 2026","638","chromium","example.spec.ts","","","","get started link",""
"skipped","Tue May 12 12:14:06 UTC 2026","Tue May 12 12:14:06 UTC 2026","97","chromium","Patient/patient_registration.spec.ts","E2E Patient Registration","","","should register a new patient successfully",""
"passed","Tue May 12 12:13:59 UTC 2026","Tue May 12 12:14:00 UTC 2026","1114","chromium","example.spec.ts","","","","has title",""
